run_id,wall_time,mode,bitfile,wns_ns,software_commit,workload,workload_id,repeat,status,exclusion_reason,n_circuits,shots,rps,n_active_ch,per_shot_us,qpu_ms,t_start_ns,t_end_ns,elapsed_ms,cmd_bytes_logical,cmd_bytes_transferred,readout_bytes,send_block_us_max,send_block_us_total,seamless,tag,pool_tables,n_groups,cnr,cnr_wait_cycles,note,t_first_dma_done_ns,t_start_written_ns,t_first_cid_ns,t_batch_done_ns
c3_14q_decomp_p0-c3-10-r-1-1789960381,2026-09-20T20:13:01,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,-1,ok,,1,32,2,8,27.36,0.8756,973607184187663,973607185168943,0.98128,1664,262400,4096,38,256,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973607184240054,973607184240764,973607184274684,973607185152573
c3_14q_decomp_p0-c3-9-r-1-1789960385,2026-09-20T20:13:05,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,-1,ok,,1,128,2,6,21.10,2.7013,973610558456121,973610561254149,2.798028,1248,196864,12288,41,757,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973610558496541,973610558497191,973610558520262,973610561241999
c3_14q_decomp_p0-c3-9-r0-1789960385,2026-09-20T20:13:05,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,0,ok,,1,128,2,6,21.10,2.7013,973610805601563,973610808400901,2.799338,1248,196864,12288,42,732,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973610805641903,973610805642573,973610805666503,973610808387031
c3_14q_decomp_p0-c3-9-r1-1789960385,2026-09-20T20:13:05,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,1,ok,,1,128,2,6,21.10,2.7013,973611051511172,973611054314310,2.803138,1248,196864,12288,40,756,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973611051550363,973611051551133,973611051575633,973611054296670
c3_14q_decomp_p0-c3-9-r2-1789960386,2026-09-20T20:13:06,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,2,ok,,1,128,2,6,21.10,2.7013,973611297809576,973611300608564,2.798988,1248,196864,12288,44,761,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973611297849746,973611297850356,973611297874716,973611300595533
c3_14q_decomp_p0-c3-9-r3-1789960386,2026-09-20T20:13:06,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,3,ok,,1,128,2,6,21.10,2.7013,973611545256270,973611548052858,2.796588,1248,196864,12288,37,753,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973611545296551,973611545297601,973611545320571,973611548042398
c3_14q_decomp_p0-c3-9-r4-1789960386,2026-09-20T20:13:06,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,4,ok,,1,128,2,6,21.10,2.7013,973611792385902,973611795183390,2.797488,1248,196864,12288,41,737,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973611792426303,973611792426953,973611792450733,973611795171540
c3_14q_decomp_p0-c3-9-r5-1789960386,2026-09-20T20:13:06,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,5,ok,,1,128,2,6,21.10,2.7013,973612038592545,973612041396623,2.804078,1248,196864,12288,40,760,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973612038631665,973612038632315,973612038657355,973612041378462
c3_14q_decomp_p0-c3-9-r6-1789960387,2026-09-20T20:13:07,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,6,ok,,1,128,2,6,21.10,2.7013,973612285171611,973612287976419,2.804808,1248,196864,12288,43,736,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973612285210731,973612285211491,973612285236031,973612287957069
c3_14q_decomp_p0-c3-9-r7-1789960387,2026-09-20T20:13:07,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,7,ok,,1,128,2,6,21.10,2.7013,973612572443744,973612575244842,2.801098,1248,196864,12288,43,756,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973612572483584,973612572484214,973612572508455,973612575229542
c3_14q_decomp_p0-c3-9-r8-1789960387,2026-09-20T20:13:07,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,8,ok,,1,128,2,6,21.10,2.7013,973612820124841,973612822921289,2.796448,1248,196864,12288,42,740,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973612820164492,973612820165132,973612820188782,973612822910499
c3_14q_decomp_p0-c3-9-r9-1789960387,2026-09-20T20:13:07,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,9,ok,,1,128,2,6,21.10,2.7013,973613065797088,973613068601646,2.804558,1248,196864,12288,38,749,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973613065837179,973613065837829,973613065861579,973613068583376
c3_14q_decomp_p0-c3-12-r-1-1789960388,2026-09-20T20:13:08,c3,build_13b440c3_20260918192735,0.001,7de69de,single,12,-1,ok,,1,10000,2,1,5.43,54.3000,973613148454545,973613204347564,55.893019,192,33024,160000,46,8511,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973613148462835,973613148463625,973613148468695,973613204329144
c3_14q_decomp_p0-c3-12-r0-1789960388,2026-09-20T20:13:08,c3,build_13b440c3_20260918192735,0.001,7de69de,single,12,0,ok,,1,10000,2,1,5.43,54.3000,973613240727918,973613296618777,55.890859,192,33024,160000,399,9135,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973613240736548,973613240737218,973613240743048,973613296603037
c3_14q_decomp_p0-c3-12-r1-1789960388,2026-09-20T20:13:08,c3,build_13b440c3_20260918192735,0.001,7de69de,single,12,1,ok,,1,10000,2,1,5.43,54.3000,973613332606917,973613389231183,56.624266,192,33024,160000,49,8406,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973613332615297,973613332615957,973613332621487,973613388481226
c3_14q_decomp_p0-c3-12-r2-1789960388,2026-09-20T20:13:08,c3,build_13b440c3_20260918192735,0.001,7de69de,single,12,2,ok,,1,10000,2,1,5.43,54.3000,973613424594437,973613480569897,55.97546,192,33024,160000,817,9090,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973613424602497,973613424603177,973613424610087,973613480469326
c3_14q_decomp_p0-c3-12-r3-1789960388,2026-09-20T20:13:08,c3,build_13b440c3_20260918192735,0.001,7de69de,single,12,3,ok,,1,10000,2,1,5.43,54.3000,973613517996131,973613573887160,55.891029,192,33024,160000,747,9218,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973613518004181,973613518004881,973613518011301,973613573870190
c3_14q_decomp_p0-c3-12-r4-1789960388,2026-09-20T20:13:08,c3,build_13b440c3_20260918192735,0.001,7de69de,single,12,4,ok,,1,10000,2,1,5.43,54.3000,973613609847390,973613665739779,55.892389,192,33024,160000,646,9291,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973613609855500,973613609856330,973613609863570,973613665722538
c3_14q_decomp_p0-c3-12-r5-1789960388,2026-09-20T20:13:08,c3,build_13b440c3_20260918192735,0.001,7de69de,single,12,5,ok,,1,10000,2,1,5.43,54.3000,973613701258604,973613757149933,55.891329,192,33024,160000,275,9055,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973613701266844,973613701267534,973613701273564,973613757133133
c3_14q_decomp_p0-c3-12-r6-1789960388,2026-09-20T20:13:08,c3,build_13b440c3_20260918192735,0.001,7de69de,single,12,6,ok,,1,10000,2,1,5.43,54.3000,973613792704798,973613848640198,55.9354,192,33024,160000,606,9249,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973613792713019,973613792713719,973613792719439,973613848579557
c3_14q_decomp_p0-c3-12-r7-1789960388,2026-09-20T20:13:08,c3,build_13b440c3_20260918192735,0.001,7de69de,single,12,7,ok,,1,10000,2,1,5.43,54.3000,973613885590767,973613941479686,55.888919,192,33024,160000,43,8396,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973613885598868,973613885599628,973613885605838,973613941465306
c3_14q_decomp_p0-c3-12-r8-1789960388,2026-09-20T20:13:08,c3,build_13b440c3_20260918192735,0.001,7de69de,single,12,8,ok,,1,10000,2,1,5.43,54.3000,973613976587708,973614032478467,55.890759,192,33024,160000,406,9115,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973613976596118,973613976596778,973613976602468,973614032463036
c3_14q_decomp_p0-c3-12-r9-1789960389,2026-09-20T20:13:09,c3,build_13b440c3_20260918192735,0.001,7de69de,single,12,9,ok,,1,10000,2,1,5.43,54.3000,973614068989182,973614124879371,55.890189,192,33024,160000,268,8584,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973614068996842,973614068997592,973614069004902,973614124863691
c3_14q_decomp_p0-c3-6-r-1-1789960389,2026-09-20T20:13:09,c3,build_13b440c3_20260918192735,0.001,7de69de,single,6,-1,ok,,1,1024,2,3,12.06,12.3515,973614233354526,973614245915551,12.561025,784,98560,40960,39,2239,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973614233375136,973614233375816,973614233388906,973614245901511
c3_14q_decomp_p0-c3-6-r0-1789960389,2026-09-20T20:13:09,c3,build_13b440c3_20260918192735,0.001,7de69de,single,6,0,ok,,1,1024,2,3,12.06,12.3515,973614381400766,973614393961542,12.560776,784,98560,40960,38,2202,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973614381421597,973614381422367,973614381435627,973614393946202
c3_14q_decomp_p0-c3-6-r1-1789960389,2026-09-20T20:13:09,c3,build_13b440c3_20260918192735,0.001,7de69de,single,6,1,ok,,1,1024,2,3,12.06,12.3515,973614528818741,973614541382866,12.564125,784,98560,40960,36,2219,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973614528839781,973614528840431,973614528853931,973614541365446
c3_14q_decomp_p0-c3-6-r2-1789960389,2026-09-20T20:13:09,c3,build_13b440c3_20260918192735,0.001,7de69de,single,6,2,ok,,1,1024,2,3,12.06,12.3515,973614674876382,973614687440367,12.563985,784,98560,40960,33,2183,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973614674897762,973614674898362,973614674911162,973614687422387
c3_14q_decomp_p0-c3-6-r3-1789960389,2026-09-20T20:13:09,c3,build_13b440c3_20260918192735,0.001,7de69de,single,6,3,ok,,1,1024,2,3,12.06,12.3515,973614821127154,973614833691580,12.564426,784,98560,40960,64,2227,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973614821147935,973614821148705,973614821161625,973614833673220
c3_14q_decomp_p0-c3-6-r4-1789960389,2026-09-20T20:13:09,c3,build_13b440c3_20260918192735,0.001,7de69de,single,6,4,ok,,1,1024,2,3,12.06,12.3515,973614966328577,973614978893112,12.564535,784,98560,40960,39,2308,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973614966349427,973614966350127,973614966364387,973614978874512
c3_14q_decomp_p0-c3-6-r5-1789960390,2026-09-20T20:13:10,c3,build_13b440c3_20260918192735,0.001,7de69de,single,6,5,ok,,1,1024,2,3,12.06,12.3515,973615112820692,973615125382687,12.561995,784,98560,40960,38,2220,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973615112842022,973615112842692,973615112855702,973615125366427
c3_14q_decomp_p0-c3-6-r6-1789960390,2026-09-20T20:13:10,c3,build_13b440c3_20260918192735,0.001,7de69de,single,6,6,ok,,1,1024,2,3,12.06,12.3515,973615257429088,973615269991884,12.562796,784,98560,40960,65,2302,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973615257450168,973615257450908,973615257463978,973615269975273
c3_14q_decomp_p0-c3-6-r7-1789960390,2026-09-20T20:13:10,c3,build_13b440c3_20260918192735,0.001,7de69de,single,6,7,ok,,1,1024,2,3,12.06,12.3515,973615405204896,973615417761702,12.556806,784,98560,40960,57,2255,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973615405225906,973615405226536,973615405239346,973615417750501
c3_14q_decomp_p0-c3-6-r8-1789960390,2026-09-20T20:13:10,c3,build_13b440c3_20260918192735,0.001,7de69de,single,6,8,ok,,1,1024,2,3,12.06,12.3515,973615551055425,973615563620140,12.564715,784,98560,40960,36,2249,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973615551076475,973615551077135,973615551090005,973615563601830
c3_14q_decomp_p0-c3-6-r9-1789960390,2026-09-20T20:13:10,c3,build_13b440c3_20260918192735,0.001,7de69de,single,6,9,ok,,1,1024,2,3,12.06,12.3515,973615696482999,973615709040005,12.557006,784,98560,40960,36,2278,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973615696504469,973615696505089,973615696518610,973615709028995
c3_14q_decomp_p0-c3-5-r-1-1789960390,2026-09-20T20:13:10,c3,build_13b440c3_20260918192735,0.001,7de69de,single,5,-1,ok,,1,1000,2,3,14.50,14.4960,973615846467749,973615861169656,14.701907,768,98560,48000,39,2594,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973615846488430,973615846489080,973615846502300,973615861155106
c3_14q_decomp_p0-c3-5-r0-1789960390,2026-09-20T20:13:10,c3,build_13b440c3_20260918192735,0.001,7de69de,single,5,0,ok,,1,1000,2,3,14.50,14.4960,973615993331288,973616008039695,14.708407,768,98560,48000,38,2665,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973615993352268,973615993352878,973615993366059,973616008018265
c3_14q_decomp_p0-c3-5-r1-1789960391,2026-09-20T20:13:11,c3,build_13b440c3_20260918192735,0.001,7de69de,single,5,1,ok,,1,1000,2,3,14.50,14.4960,973616138103646,973616152802683,14.699037,768,98560,48000,39,2752,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973616138124416,973616138125056,973616138139006,973616152790723
c3_14q_decomp_p0-c3-5-r2-1789960391,2026-09-20T20:13:11,c3,build_13b440c3_20260918192735,0.001,7de69de,single,5,2,ok,,1,1000,2,3,14.50,14.4960,973616284297168,973616299003185,14.706017,768,98560,48000,43,2777,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973616284317718,973616284318388,973616284332539,973616298983805
c3_14q_decomp_p0-c3-5-r3-1789960391,2026-09-20T20:13:11,c3,build_13b440c3_20260918192735,0.001,7de69de,single,5,3,ok,,1,1000,2,3,14.50,14.4960,973616430313789,973616445018956,14.705167,768,98560,48000,41,2738,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973616430334729,973616430335549,973616430348579,973616445001346
c3_14q_decomp_p0-c3-5-r4-1789960391,2026-09-20T20:13:11,c3,build_13b440c3_20260918192735,0.001,7de69de,single,5,4,ok,,1,1000,2,3,14.50,14.4960,973616575914635,973616590612552,14.697917,768,98560,48000,41,2731,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973616575936185,973616575936825,973616575949865,973616590601652
c3_14q_decomp_p0-c3-5-r5-1789960391,2026-09-20T20:13:11,c3,build_13b440c3_20260918192735,0.001,7de69de,single,5,5,ok,,1,1000,2,3,14.50,14.4960,973616722064577,973616736774624,14.710047,768,98560,48000,39,2699,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973616722085967,973616722086667,973616722099587,973616736751004
c3_14q_decomp_p0-c3-5-r6-1789960391,2026-09-20T20:13:11,c3,build_13b440c3_20260918192735,0.001,7de69de,single,5,6,ok,,1,1000,2,3,14.50,14.4960,973616865193448,973616879892335,14.698887,768,98560,48000,40,2738,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973616865215058,973616865215788,973616865228609,973616879880355
c3_14q_decomp_p0-c3-5-r7-1789960391,2026-09-20T20:13:11,c3,build_13b440c3_20260918192735,0.001,7de69de,single,5,7,ok,,1,1000,2,3,14.50,14.4960,973617010057257,973617024755544,14.698287,768,98560,48000,47,2752,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973617010078587,973617010079227,973617010091947,973617024743504
c3_14q_decomp_p0-c3-5-r8-1789960392,2026-09-20T20:13:12,c3,build_13b440c3_20260918192735,0.001,7de69de,single,5,8,ok,,1,1000,2,3,14.50,14.4960,973617156201189,973617170904646,14.703457,768,98560,48000,40,2780,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973617156221949,973617156222669,973617156236269,973617170888026
c3_14q_decomp_p0-c3-5-r9-1789960392,2026-09-20T20:13:12,c3,build_13b440c3_20260918192735,0.001,7de69de,single,5,9,ok,,1,1000,2,3,14.50,14.4960,973617301499762,973617316212319,14.712557,768,98560,48000,38,2757,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973617301520972,973617301521592,973617301535092,973617316187139
c3_14q_decomp_p0-c3-11-r-1-1789960392,2026-09-20T20:13:12,c3,build_13b440c3_20260918192735,0.001,7de69de,single,11,-1,ok,,1,1024,2,5,18.92,19.3761,973617521917556,973617541526913,19.609357,1392,164096,73728,44,4078,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973617521951047,973617521951777,973617521972607,973617541508682
c3_14q_decomp_p0-c3-11-r0-1789960392,2026-09-20T20:13:12,c3,build_13b440c3_20260918192735,0.001,7de69de,single,11,0,ok,,1,1024,2,5,18.92,19.3761,973617731899957,973617751503133,19.603176,1392,164096,73728,468,4423,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973617731933517,973617731934167,973617731954977,973617751490903
c3_14q_decomp_p0-c3-11-r1-1789960392,2026-09-20T20:13:12,c3,build_13b440c3_20260918192735,0.001,7de69de,single,11,1,ok,,1,1024,2,5,18.92,19.3761,973617941906317,973617961515023,19.608706,1392,164096,73728,35,4096,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973617941939677,973617941940397,973617941960708,973617961496883
c3_14q_decomp_p0-c3-11-r2-1789960392,2026-09-20T20:13:12,c3,build_13b440c3_20260918192735,0.001,7de69de,single,11,2,ok,,1,1024,2,5,18.92,19.3761,973618150741946,973618170347812,19.605866,1392,164096,73728,45,4116,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973618150775736,973618150776976,973618150796956,973618170333412
c3_14q_decomp_p0-c3-11-r3-1789960393,2026-09-20T20:13:13,c3,build_13b440c3_20260918192735,0.001,7de69de,single,11,3,ok,,1,1024,2,5,18.92,19.3761,973618359085479,973618378692816,19.607337,1392,164096,73728,505,4617,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973618359119560,973618359120310,973618359140500,973618378677005
c3_14q_decomp_p0-c3-11-r4-1789960393,2026-09-20T20:13:13,c3,build_13b440c3_20260918192735,0.001,7de69de,single,11,4,ok,,1,1024,2,5,18.92,19.3761,973618567885768,973618587487764,19.601996,1392,164096,73728,38,3993,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973618567919518,973618567920648,973618567940478,973618587476534
c3_14q_decomp_p0-c3-11-r5-1789960393,2026-09-20T20:13:13,c3,build_13b440c3_20260918192735,0.001,7de69de,single,11,5,ok,,1,1024,2,5,18.92,19.3761,973618777742127,973618797345503,19.603376,1392,164096,73728,88,4263,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973618777776017,973618777776677,973618777796177,973618797332263
c3_14q_decomp_p0-c3-11-r6-1789960393,2026-09-20T20:13:13,c3,build_13b440c3_20260918192735,0.001,7de69de,single,11,6,ok,,1,1024,2,5,18.92,19.3761,973618988446734,973619008065390,19.618656,1392,164096,73728,47,4164,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973618988480194,973618988480864,973618988501635,973619008037020
c3_14q_decomp_p0-c3-11-r7-1789960394,2026-09-20T20:13:14,c3,build_13b440c3_20260918192735,0.001,7de69de,single,11,7,ok,,1,1024,2,5,18.92,19.3761,973619238744867,973619258352423,19.607556,1392,164096,73728,352,4349,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973619238778098,973619238778708,973619238799518,973619258335833
c3_14q_decomp_p0-c3-11-r8-1789960394,2026-09-20T20:13:14,c3,build_13b440c3_20260918192735,0.001,7de69de,single,11,8,ok,,1,1024,2,5,18.92,19.3761,973619448667527,973619468270043,19.602516,1392,164096,73728,45,4137,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973619448701107,973619448701827,973619448722737,973619468257933
c3_14q_decomp_p0-c3-11-r9-1789960394,2026-09-20T20:13:14,c3,build_13b440c3_20260918192735,0.001,7de69de,single,11,9,ok,,1,1024,2,5,18.92,19.3761,973619656907790,973619676508226,19.600436,1392,164096,73728,45,4197,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973619656941430,973619656942060,973619656962590,973619676497636
c3_14q_decomp_p0-c3-20-r-1-1789960394,2026-09-20T20:13:14,c3,build_13b440c3_20260918192735,0.001,7de69de,single,20,-1,ok,,1,1000,2,5,17.66,17.6580,973619858853259,973619876735728,17.882469,1008,164096,56000,43,3083,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973619858886610,973619858887640,973619858907910,973619876722298
c3_14q_decomp_p0-c3-20-r0-1789960394,2026-09-20T20:13:14,c3,build_13b440c3_20260918192735,0.001,7de69de,single,20,0,ok,,1,1000,2,5,17.66,17.6580,973620055531437,973620073413745,17.882308,1008,164096,56000,42,3116,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973620055565427,973620055566027,973620055585857,973620073400765
