idx,name,backend,n,skip,PASS,MARGINAL,FAIL,stops,stop_on_PASS,stop_on_MARGINAL,stop_on_FAIL,missed_FAIL,stop_cp_min,stop_cp_median,stop_cp_max,stops_tvd_only,stop_on_PASS_tvd_only,tvd_mean,hf_mean
23,VQE SrH PDM 12Q,FakeTorino,20,0,0,20,0,0,0,0,0,0,,,,0,0,0.446,0.554
24,Grover 6Q,FakeManilaV2,20,1,,,,,,,,,,,,,,,
24,Grover 6Q,FakeLagosV2,20,0,20,0,0,0,0,0,0,0,,,,0,0,0.141,0.969
24,Grover 6Q,FakeGuadalupeV2,20,0,20,0,0,0,0,0,0,0,,,,0,0,0.138,0.969
24,Grover 6Q,FakeAlgiers,20,0,20,0,0,0,0,0,0,0,,,,0,0,0.14,0.968
24,Grover 6Q,FakeSherbrooke,20,0,20,0,0,0,0,0,0,0,,,,0,0,0.142,0.968
24,Grover 6Q,FakeTorino,20,0,20,0,0,0,0,0,0,0,,,,0,0,0.139,0.969
25,QSVM Radar 4Q,FakeManilaV2,20,0,20,0,0,0,0,0,0,0,,,,0,0,0.105,0.984
25,QSVM Radar 4Q,FakeLagosV2,20,0,20,0,0,0,0,0,0,0,,,,0,0,0.175,0.959
25,QSVM Radar 4Q,FakeGuadalupeV2,20,0,20,0,0,0,0,0,0,0,,,,0,0,0.084,0.988
25,QSVM Radar 4Q,FakeAlgiers,20,0,20,0,0,0,0,0,0,0,,,,0,0,0.07,0.991
25,QSVM Radar 4Q,FakeSherbrooke,20,0,20,0,0,0,0,0,0,0,,,,0,0,0.081,0.989
25,QSVM Radar 4Q,FakeTorino,20,0,20,0,0,0,0,0,0,0,,,,0,0,0.131,0.973
