batch_id,position,circuit_idx
rand20_t8,19,13
rand20_t9,0,20
rand20_t9,1,5
rand20_t9,2,13
rand20_t9,3,6
rand20_t9,4,10
rand20_t9,5,24
rand20_t9,6,22
rand20_t9,7,2
rand20_t9,8,9
rand20_t9,9,6
rand20_t9,10,1
rand20_t9,11,21
rand20_t9,12,13
rand20_t9,13,6
rand20_t9,14,20
rand20_t9,15,12
rand20_t9,16,9
rand20_t9,17,1
rand20_t9,18,2
rand20_t9,19,23
rand30_t0,0,24
rand30_t0,1,11
rand30_t0,2,22
rand30_t0,3,12
rand30_t0,4,3
rand30_t0,5,3
rand30_t0,6,7
rand30_t0,7,23
rand30_t0,8,21
rand30_t0,9,23
rand30_t0,10,23
rand30_t0,11,5
rand30_t0,12,5
rand30_t0,13,3
rand30_t0,14,21
rand30_t0,15,23
rand30_t0,16,9
rand30_t0,17,13
rand30_t0,18,4
rand30_t0,19,24
rand30_t0,20,23
rand30_t0,21,25
rand30_t0,22,22
rand30_t0,23,23
rand30_t0,24,1
rand30_t0,25,20
rand30_t0,26,7
rand30_t0,27,24
rand30_t0,28,22
rand30_t0,29,23
rand30_t1,0,22
rand30_t1,1,6
rand30_t1,2,21
rand30_t1,3,3
rand30_t1,4,23
rand30_t1,5,23
rand30_t1,6,5
rand30_t1,7,22
rand30_t1,8,10
rand30_t1,9,7
rand30_t1,10,21
rand30_t1,11,5
rand30_t1,12,1
rand30_t1,13,4
rand30_t1,14,7
rand30_t1,15,23
rand30_t1,16,25
rand30_t1,17,6
rand30_t1,18,13
rand30_t1,19,8
rand30_t1,20,25
rand30_t1,21,11
rand30_t1,22,24
rand30_t1,23,3
rand30_t1,24,25
rand30_t1,25,4
rand30_t1,26,25
rand30_t1,27,6
rand30_t1,28,3
rand30_t1,29,9
rand30_t2,0,20
rand30_t2,1,7
rand30_t2,2,13
rand30_t2,3,11
rand30_t2,4,8
rand30_t2,5,12
rand30_t2,6,6
rand30_t2,7,20
rand30_t2,8,1
rand30_t2,9,24
rand30_t2,10,11
rand30_t2,11,20
rand30_t2,12,20
rand30_t2,13,19
rand30_t2,14,8
rand30_t2,15,2
rand30_t2,16,19
rand30_t2,17,7
rand30_t2,18,7
rand30_t2,19,22
rand30_t2,20,20
rand30_t2,21,7
rand30_t2,22,7
rand30_t2,23,9
rand30_t2,24,9
rand30_t2,25,6
rand30_t2,26,3
rand30_t2,27,9
rand30_t2,28,24
rand30_t2,29,19
rand30_t3,0,24
rand30_t3,1,13
rand30_t3,2,7
rand30_t3,3,11
rand30_t3,4,1
rand30_t3,5,6
rand30_t3,6,9
rand30_t3,7,12
rand30_t3,8,19
rand30_t3,9,10
rand30_t3,10,9
rand30_t3,11,5
rand30_t3,12,10
rand30_t3,13,24
rand30_t3,14,21
rand30_t3,15,4
rand30_t3,16,2
rand30_t3,17,11
rand30_t3,18,13
rand30_t3,19,7
rand30_t3,20,22
rand30_t3,21,21
rand30_t3,22,19
rand30_t3,23,5
rand30_t3,24,4
rand30_t3,25,1
rand30_t3,26,5
rand30_t3,27,10
rand30_t3,28,22
rand30_t3,29,2
rand30_t4,0,9
rand30_t4,1,13
rand30_t4,2,4
rand30_t4,3,19
rand30_t4,4,10
rand30_t4,5,5
rand30_t4,6,19
rand30_t4,7,1
rand30_t4,8,21
rand30_t4,9,21
rand30_t4,10,3
rand30_t4,11,9
rand30_t4,12,4
rand30_t4,13,25
rand30_t4,14,11
rand30_t4,15,2
rand30_t4,16,5
rand30_t4,17,22
rand30_t4,18,10
rand30_t4,19,22
rand30_t4,20,19
rand30_t4,21,25
rand30_t4,22,12
rand30_t4,23,25
rand30_t4,24,23
rand30_t4,25,13
rand30_t4,26,20
rand30_t4,27,11
rand30_t4,28,22
rand30_t4,29,11
rand30_t5,0,23
rand30_t5,1,20
rand30_t5,2,10
rand30_t5,3,6
rand30_t5,4,5
rand30_t5,5,13
rand30_t5,6,21
rand30_t5,7,11
rand30_t5,8,13
rand30_t5,9,6
rand30_t5,10,2
rand30_t5,11,6
rand30_t5,12,6
rand30_t5,13,7
rand30_t5,14,11
rand30_t5,15,3
rand30_t5,16,5
rand30_t5,17,19
rand30_t5,18,20
rand30_t5,19,2
rand30_t5,20,9
rand30_t5,21,11
rand30_t5,22,9
rand30_t5,23,5
rand30_t5,24,9
rand30_t5,25,24
rand30_t5,26,12
rand30_t5,27,19
rand30_t5,28,23
rand30_t5,29,21
rand30_t6,0,8
rand30_t6,1,1
rand30_t6,2,8
rand30_t6,3,21
rand30_t6,4,23
rand30_t6,5,25
rand30_t6,6,9
rand30_t6,7,20
rand30_t6,8,11
rand30_t6,9,13
rand30_t6,10,5
rand30_t6,11,5
rand30_t6,12,9
rand30_t6,13,1
rand30_t6,14,7
rand30_t6,15,19
rand30_t6,16,9
rand30_t6,17,4
rand30_t6,18,10
rand30_t6,19,3
rand30_t6,20,13
rand30_t6,21,1
rand30_t6,22,8
rand30_t6,23,12
rand30_t6,24,1
rand30_t6,25,13
rand30_t6,26,3
rand30_t6,27,10
rand30_t6,28,2
rand30_t6,29,8
rand30_t7,0,5
rand30_t7,1,7
rand30_t7,2,21
rand30_t7,3,8
rand30_t7,4,21
rand30_t7,5,22
rand30_t7,6,6
rand30_t7,7,2
rand30_t7,8,1
rand30_t7,9,11
rand30_t7,10,25
rand30_t7,11,7
rand30_t7,12,19
rand30_t7,13,21
rand30_t7,14,19
rand30_t7,15,21
rand30_t7,16,24
rand30_t7,17,4
rand30_t7,18,1
rand30_t7,19,4
rand30_t7,20,3
rand30_t7,21,19
rand30_t7,22,12
rand30_t7,23,5
rand30_t7,24,19
rand30_t7,25,21
rand30_t7,26,4
rand30_t7,27,13
rand30_t7,28,20
rand30_t7,29,3
rand30_t8,0,22
rand30_t8,1,25
rand30_t8,2,3
rand30_t8,3,1
rand30_t8,4,7
rand30_t8,5,19
rand30_t8,6,25
rand30_t8,7,8
rand30_t8,8,20
rand30_t8,9,2
rand30_t8,10,19
rand30_t8,11,13
rand30_t8,12,3
rand30_t8,13,21
rand30_t8,14,23
rand30_t8,15,13
rand30_t8,16,3
rand30_t8,17,25
rand30_t8,18,21
rand30_t8,19,7
rand30_t8,20,9
rand30_t8,21,8
rand30_t8,22,11
rand30_t8,23,7
rand30_t8,24,22
rand30_t8,25,22
rand30_t8,26,3
rand30_t8,27,25
rand30_t8,28,13
rand30_t8,29,22
rand30_t9,0,20
rand30_t9,1,9
rand30_t9,2,20
rand30_t9,3,25
rand30_t9,4,6
rand30_t9,5,22
rand30_t9,6,11
rand30_t9,7,10
rand30_t9,8,9
rand30_t9,9,20
rand30_t9,10,6
rand30_t9,11,23
rand30_t9,12,22
rand30_t9,13,2
rand30_t9,14,23
rand30_t9,15,5
rand30_t9,16,10
rand30_t9,17,13
rand30_t9,18,8
rand30_t9,19,1
rand30_t9,20,23
rand30_t9,21,4
rand30_t9,22,5
rand30_t9,23,21
rand30_t9,24,7
rand30_t9,25,23
rand30_t9,26,20
rand30_t9,27,6
rand30_t9,28,1
rand30_t9,29,24
ghz8_x30,0,10
ghz8_x30,1,10
ghz8_x30,2,10
ghz8_x30,3,10
ghz8_x30,4,10
ghz8_x30,5,10
ghz8_x30,6,10
ghz8_x30,7,10
ghz8_x30,8,10
ghz8_x30,9,10
ghz8_x30,10,10
ghz8_x30,11,10
ghz8_x30,12,10
ghz8_x30,13,10
ghz8_x30,14,10
ghz8_x30,15,10
ghz8_x30,16,10
ghz8_x30,17,10
ghz8_x30,18,10
ghz8_x30,19,10
ghz8_x30,20,10
ghz8_x30,21,10
ghz8_x30,22,10
ghz8_x30,23,10
ghz8_x30,24,10
ghz8_x30,25,10
ghz8_x30,26,10
ghz8_x30,27,10
ghz8_x30,28,10
ghz8_x30,29,10
qaoa12_x30,0,21
qaoa12_x30,1,21
qaoa12_x30,2,21
qaoa12_x30,3,21
qaoa12_x30,4,21
qaoa12_x30,5,21
qaoa12_x30,6,21
qaoa12_x30,7,21
qaoa12_x30,8,21
qaoa12_x30,9,21
qaoa12_x30,10,21
qaoa12_x30,11,21
qaoa12_x30,12,21
qaoa12_x30,13,21
qaoa12_x30,14,21
qaoa12_x30,15,21
qaoa12_x30,16,21
qaoa12_x30,17,21
qaoa12_x30,18,21
qaoa12_x30,19,21
qaoa12_x30,20,21
qaoa12_x30,21,21
qaoa12_x30,22,21
qaoa12_x30,23,21
qaoa12_x30,24,21
qaoa12_x30,25,21
qaoa12_x30,26,21
qaoa12_x30,27,21
qaoa12_x30,28,21
qaoa12_x30,29,21
