idx,per_shot_nominal_us,per_shot_compiled_us,per_shot_c1_slope_us,c1_slope_sd_us,per_shot_c3_slope_us,c3_slope_sd_us,note
11,18.920,18.930,19.0901,0.0019,18.9489,0.0095,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
12,5.430,5.440,5.5936,0.0003,5.6224,0.0204,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
13,26.470,26.480,26.6323,0.0009,26.5340,0.0160,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
19,46.420,46.430,46.5847,0.0113,46.5362,0.0808,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
20,17.660,17.670,17.8184,0.0013,17.7393,0.1082,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
21,43.240,43.250,43.3905,0.0018,43.3195,0.0194,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
22,50.120,50.130,50.2978,0.0013,50.2652,0.0218,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
23,42.850,42.860,43.0078,0.0030,42.8904,0.0144,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
24,59.480,59.490,59.6376,0.0013,59.5488,0.0210,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
25,17.120,17.130,17.2877,0.0002,17.1908,0.0615,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
